Date,CPIIndex,CPIIndex excluding groceries,CPIIndex of Consumer Goods,CPIIndex of Services,CPIIndex of Apparel,CPIIndex excluding Groceries and Energy
2026-04-01,104.490099835758,105.067607104034,102.661624422712,104.006104630528,105.706459705321,104.058064406763
2026-03-01,104.18072269184,104.349757784003,102.550861627878,103.567919717096,105.970535774664,103.772638217641
2026-02-01,104.92615822727,104.60229757896,102.852579067899,104.763620934035,105.559799160318,104.48618804686
2026-01-01,103.976332814198,103.786667367074,102.118296249678,103.617240457661,105.646471755444,103.766955011082
2025-12-01,103.8434519475,103.592799884419,102.066359974303,103.279744540787,105.87281965923,103.578024507348
2025-11-01,103.6721391,103.478721942082,101.724847166042,103.260559544101,105.858244868887,103.389628696768
2025-10-01,103.7534012,103.679945346248,101.607094862376,103.675170115419,105.084622582382,103.512283126533
2025-09-01,103.5292094,103.46438682167,101.397193211528,103.44030662497,105.070944058723,103.303416534381
2025-08-01,103.438065,103.499926441962,101.073870326746,103.737939735741,104.365801305161,103.308005761468
2025-07-01,103.448301,103.573152321958,101.008295673536,103.693207270225,104.470991264333,103.314769348586
2025-06-01,103.0310876,103.004130437108,100.815877888831,103.05226141927,104.760256262881,102.865502307747
2025-05-01,103.0848894,103.017909745627,100.93547343871,103.041590092005,104.878694975227,102.901752850183
2025-04-01,103.2479593,103.197453948503,101.252304098538,102.99945485171,104.254096763348,102.901131738586
2025-03-01,103.1383864,103.069587533797,101.24156162395,102.702994375427,104.358584749164,102.661218303412
2025-02-01,103.4908394,103.245443684016,101.651746306749,103.120287170645,103.659285595343,102.631682119411
2025-01-01,103.6941385,103.359909611514,101.661116455737,103.644532353099,103.725771176865,102.8225708743
2024-12-01,102.9835521,102.781149905569,101.091780436698,102.68283254222,104.166804955201,102.33166112701
2024-11-01,102.9738137,102.663550028381,101.134187251337,102.542849705308,103.933749812318,102.144749555464
2024-10-01,103.5634078,102.763701781152,101.817837802405,102.88011209585,103.3399743603,102.287097713059
2024-09-01,103.8284009,102.812658518192,102.23517589247,102.836866136585,103.313074608757,102.276066640885
2024-08-01,103.8432018,103.015197725659,102.05902695382,103.163690060891,102.543719102096,102.379823760505
2024-07-01,103.4533901,103.317201948776,101.404700504481,103.199840350908,102.748711328585,102.532315853366
2024-06-01,102.9773933,102.887463664923,100.999216244881,102.550181837347,103.10992809204,102.215956029135
2024-05-01,103.2315469,103.044760450648,101.429547428319,102.570870977412,103.341575049192,102.288642109124
2024-04-01,103.3577516,103.222250775675,101.567749822593,102.679767043735,102.929855626686,102.423604713584
2024-03-01,103.3032,102.894433404138,101.644562175077,102.391009699792,103.03314425182,102.179855211356
2024-02-01,104.2245,103.337675341471,102.565465345873,103.528378162606,102.469675529972,102.749187693964
2024-01-01,103.168,102.807942704503,101.522379412743,102.553992750838,102.599960254044,102.188690174906
2023-12-01,102.8904,102.59090442388,101.353214237786,102.20922639744,102.958566413747,101.906656573151
2023-11-01,102.8,102.66616197739,101.163261564886,102.10580443332,102.804967635643,101.799290623711
2023-10-01,103.3,103.023816493592,101.60622795999,102.513304835772,102.243464109432,102.093940903426
2023-09-01,103.4,103.022194094365,101.698713211155,102.614304673115,101.9884923115,102.172516828197
2023-08-01,103.2,102.817510088211,101.294459284636,102.717153842014,101.179059832837,102.126018244616
2023-07-01,102.9,102.617070881796,100.901679501593,102.61848685233,101.280942454526,102.133493834172
2023-06-01,102.7,102.119301984225,101.075678930086,101.816775270389,101.586355959323,101.635744126496
2023-05-01,102.9,102.255669272987,101.392912783868,101.750649482275,101.738988718402,101.748038483191
2023-04-01,103.0,102.320500343904,101.592582032283,101.846578728749,101.333654101994,101.750739330078
2023-03-01,103.2,102.252115038243,102.054968064653,101.579814877745,101.435592609727,101.617313971084
2023-02-01,103.5,102.22885090496,102.594399504967,101.547815158847,100.931087445941,101.579784349947
2023-01-01,104.0,102.410158542109,103.243985919861,101.980022088204,100.985587762339,101.757971919265
2022-12-01,103.2,102.107774161539,102.570276692741,101.198556987253,101.58762093723,101.304396850861
2022-11-01,103.3,102.31135729797,102.665645344404,101.09738341605,101.486134802428,101.203699966905
